power,T,MOMF,DIRECTION32,WS30,WS31,WS32,WS10,WS10S,DIRECTION30,DIRECTION31,DIR10,DIR10S,MSLP,CLC,SENF,LATF,SWR,LWR,PS,PRT,PRL,PRC,T2M,RH2M
41.07,285.02,0.27,121.72,5.46,5.43,5.23,3.61,3.96,124.46,122.92,119.73,119.7,1030.52,87.47,-132.29,-192.56,660.26,-101.62,1026.78,0,0,0,286.19,62.01
38.47,285.11,0.28,121.94,5.56,5.53,5.33,3.69,4.02,124.68,123.12,119.92,119.89,1030.4,89.43,-131.09,-187.63,637.48,-99.73,1026.66,0,0,0,286.24,61.56
38.67,285.16,0.28,122.13,5.67,5.64,5.43,3.75,4.09,124.87,123.3,120.23,120.2,1030.29,90.99,-129.01,-180.54,609.98,-97.92,1026.55,0,0,0,286.26,61.24
36.93,285.19,0.29,122.29,5.79,5.76,5.54,3.82,4.18,125.02,123.45,120.67,120.65,1030.19,92.16,-126.04,-171.28,577.77,-96.18,1026.45,0,0,0,286.25,61.04
38.93,285.22,0.29,122.45,5.91,5.87,5.65,3.9,4.26,125.18,123.6,121.1,121.09,1030.09,93.33,-123.07,-162.02,545.55,-94.44,1026.36,0,0,0,286.23,60.83
40.67,283.95,0.33,121.77,6.92,6.72,6.32,4.28,5.53,124.16,123.08,119.26,119.23,1029.04,98.9,-122.89,-98.89,390.48,-75.53,1025.41,0,0,0,284.85,62.3
42.07,283.92,0.33,122.45,6.97,6.76,6.35,4.28,5.56,124.92,123.79,120.17,120.16,1028.99,99.07,-118.59,-90.58,365.91,-73.94,1025.39,0,0,0,284.78,62.3
38.27,283.87,0.33,123.05,7.02,6.81,6.38,4.29,5.6,125.59,124.42,121.07,121.09,1028.97,99.17,-114.63,-83.06,343.17,-72.44,1025.36,0,0,0,284.7,62.4
37.67,283.83,0.33,123.64,7.08,6.85,6.41,4.29,5.64,126.27,125.05,121.98,122.02,1028.95,99.26,-110.69,-75.53,320.42,-70.92,1025.33,0,0,0,284.62,62.5
38.2,283.78,0.33,124.24,7.13,6.9,6.43,4.3,5.68,126.94,125.68,122.88,122.95,1028.93,99.36,-106.74,-68.01,297.68,-69.42,1025.3,0,0,0,284.54,62.6
38.4,283.72,0.33,124.36,7.2,6.95,6.47,4.31,5.74,127.11,125.81,123.32,123.42,1028.87,99.41,-103.29,-61.21,274.07,-68.12,1025.23,0,0,0,284.45,62.79
37.73,283.65,0.33,124,7.28,7.01,6.51,4.33,5.82,126.81,125.45,123.31,123.41,1028.76,99.41,-100.34,-55.12,249.58,-67.03,1025.12,0,0,0,284.34,63.07
35.27,283.57,0.34,123.63,7.35,7.07,6.55,4.36,5.89,126.5,125.1,123.31,123.39,1028.66,99.41,-97.38,-49.03,225.1,-65.95,1025.01,0,0,0,284.24,63.34
34.07,283.5,0.34,123.27,7.43,7.13,6.59,4.38,5.97,126.19,124.74,123.3,123.38,1028.55,99.41,-94.43,-42.94,200.61,-64.86,1024.9,0,0,0,284.13,63.62
32.67,283.4,0.34,122.63,7.49,7.18,6.61,4.38,6.03,125.65,124.15,123.07,123.16,1028.44,99.44,-90.9,-36.3,174.82,-63.57,1024.79,0,0,0,284,64.02
29.4,283.28,0.33,121.71,7.54,7.21,6.61,4.36,6.08,124.88,123.33,122.63,122.72,1028.32,99.51,-86.77,-29.1,147.71,-62.07,1024.67,0,0,0,283.85,64.53
30.07,283.16,0.33,120.78,7.59,7.24,6.61,4.34,6.13,124.11,122.52,122.19,122.28,1028.21,99.58,-82.65,-21.9,120.61,-60.57,1024.55,0,0,0,283.69,65.05
26.53,283.04,0.32,119.86,7.64,7.27,6.61,4.32,6.18,123.33,121.7,121.75,121.84,1028.09,99.65,-78.52,-14.7,93.5,-59.07,1024.43,0,0,0,283.54,65.56
26.13,282.91,0.31,118.86,7.7,7.31,6.61,4.29,6.22,122.55,120.85,121.14,121.22,1028.03,99.7,-74.48,-8.42,70.22,-57.65,1024.37,0,0,0,283.37,66.19
31.53,282.76,0.3,117.79,7.79,7.36,6.6,4.23,6.26,121.75,119.96,120.37,120.43,1028.04,99.75,-70.51,-3.06,50.76,-56.32,1024.37,0,0,0,283.18,66.94
33.2,282.62,0.29,116.72,7.88,7.41,6.6,4.19,6.3,120.95,119.07,119.59,119.64,1028.05,99.81,-66.54,2.29,31.31,-54.99,1024.37,0,0,0,282.99,67.68
31.6,282.47,0.28,115.65,7.97,7.46,6.59,4.14,6.34,120.15,118.18,118.82,118.85,1028.06,99.85,-62.57,7.65,11.85,-53.66,1024.37,0,0,0,282.8,68.43
28.87,282.33,0.27,114.9,8.07,7.52,6.59,4.1,6.38,119.64,117.59,118.26,118.28,1028.09,99.89,-59.56,11.13,1.98,-52.41,1024.4,0,0,0,282.62,69.27
25.8,282.18,0.27,114.49,8.2,7.59,6.61,4.07,6.41,119.41,117.29,117.92,117.95,1028.15,99.91,-57.51,12.74,1.71,-51.26,1024.45,0,0,0,282.45,70.2
29.13,282.04,0.26,114.08,8.34,7.66,6.62,4.05,6.44,119.19,117,117.58,117.61,1028.2,99.93,-55.46,14.34,1.44,-50.1,1024.5,0,0,0,282.28,71.13
35.4,281.89,0.26,113.67,8.46,7.73,6.62,4.02,6.47,118.96,116.7,117.24,117.28,1028.26,99.95,-53.41,15.95,1.17,-48.95,1024.55,0,0,0,282.11,72.06
38.27,281.77,0.26,113.61,8.56,7.79,6.63,4.01,6.5,118.99,116.68,117.17,117.21,1028.32,99.96,-51.95,16.75,1.02,-48.05,1024.62,0,0,0,281.96,72.87
36.47,281.67,0.26,113.9,8.63,7.83,6.64,4,6.51,119.28,116.95,117.35,117.4,1028.37,99.97,-51.09,16.75,0.99,-47.41,1024.7,0,0,0,281.86,73.55
30.93,281.57,0.25,114.19,8.7,7.86,6.66,4,6.51,119.57,117.21,117.54,117.59,1028.43,99.97,-50.22,16.76,0.96,-46.77,1024.79,0,0,0,281.75,74.24
31.73,281.47,0.25,114.48,8.77,7.9,6.67,3.99,6.53,119.86,117.48,117.73,117.78,1028.48,99.98,-49.36,16.76,0.93,-46.13,1024.87,0,0,0,281.63,74.92
30.47,281.39,0.25,114.64,8.82,7.93,6.67,3.99,6.54,120.03,117.62,117.91,117.95,1028.53,99.98,-48.71,16.73,0.92,-45.59,1024.92,0,0,0,281.54,75.5
30.93,281.32,0.25,114.66,8.86,7.95,6.69,3.99,6.54,120.09,117.64,118.06,118.1,1028.56,99.98,-48.27,16.66,0.91,-45.14,1024.94,0,0,0,281.47,75.97
32.4,281.25,0.25,114.69,8.91,7.98,6.69,3.99,6.55,120.14,117.67,118.21,118.24,1028.59,99.98,-47.82,16.59,0.9,-44.7,1024.96,0.01,0.01,0,281.39,76.44
36.47,281.18,0.25,114.71,8.95,8,6.71,3.99,6.57,120.2,117.69,118.36,118.39,1028.62,99.98,-47.38,16.52,0.89,-44.25,1024.98,0.01,0.01,0,281.32,76.91
36.27,281.13,0.25,114.67,9,8.04,6.73,4,6.59,120.15,117.63,118.35,118.38,1028.66,99.98,-47.1,16.56,0.89,-43.78,1025.01,0.01,0.01,0,281.25,77.32
46.87,281.09,0.25,114.56,9.07,8.09,6.77,4.02,6.62,120,117.48,118.2,118.22,1028.69,99.98,-46.98,16.73,0.88,-43.28,1025.03,0.01,0.01,0,281.2,77.69
52.2,281.04,0.26,114.45,9.13,8.14,6.8,4.03,6.65,119.85,117.34,118.05,118.07,1028.73,99.98,-46.86,16.89,0.86,-42.79,1025.07,0.01,0.01,0,281.15,78.05
44.33,281,0.26,114.34,9.2,8.19,6.84,4.05,6.68,119.7,117.19,117.9,117.91,1028.76,99.98,-46.74,17.06,0.85,-42.29,1025.1,0.01,0.01,0,281.11,78.42
43.8,280.97,0.26,114.52,9.26,8.24,6.88,4.07,6.71,119.8,117.33,118.01,118.02,1028.79,99.98,-46.64,17.16,0.85,-41.92,1025.13,0.01,0.01,0,281.06,78.74
40.93,280.94,0.26,114.98,9.32,8.29,6.91,4.09,6.75,120.15,117.74,118.38,118.4,1028.82,99.98,-46.57,17.2,0.85,-41.68,1025.17,0.01,0.01,0,281.03,79.03
43.27,280.91,0.27,115.45,9.39,8.34,6.94,4.11,6.78,120.5,118.15,118.76,118.77,1028.85,99.97,-46.5,17.25,0.84,-41.44,1025.2,0.01,0.01,0,281,79.31
35.93,280.88,0.27,115.91,9.45,8.39,6.96,4.13,6.81,120.84,118.56,119.13,119.15,1028.88,99.97,-46.43,17.29,0.84,-41.2,1025.24,0.01,0.01,0,280.97,79.6
33.6,280.86,0.27,116.62,9.48,8.4,6.97,4.14,6.82,121.45,119.23,119.79,119.81,1028.81,99.97,-46.27,17.2,0.84,-40.9,1025.18,0.01,0.01,0,280.95,79.86
35.73,280.83,0.27,117.58,9.48,8.39,6.94,4.13,6.81,122.33,120.16,120.72,120.76,1028.66,99.97,-46.04,16.99,0.84,-40.53,1025.01,0.01,0.01,0,280.93,80.1
39.2,280.81,0.27,118.53,9.48,8.37,6.92,4.13,6.8,123.19,121.08,121.66,121.71,1028.5,99.98,-45.81,16.78,0.84,-40.17,1024.84,0.02,0.01,0,280.91,80.34
37.87,280.78,0.27,119.49,9.48,8.36,6.89,4.12,6.79,124.06,122.01,122.59,122.66,1028.35,99.98,-45.58,16.57,0.84,-39.8,1024.67,0.02,0.01,0,280.89,80.58
