power,T,MOMF,DIRECTION32,WS30,WS31,WS32,WS10,WS10S,DIRECTION30,DIRECTION31,DIR10,DIR10S,MSLP,CLC,SENF,LATF,SWR,LWR,PS,PRT,PRL,PRC,T2M,RH2M
9,285.6,0.03,191.24,4.78,5.01,4.18,2.17,2.5,200.09,189.8,198.98,197.53,1019.29,0.2,-1.54,17.64,1.1,-75.93,866.76,0,0,0,280.12,48.92
9,285.27,0.04,194.76,5.11,5.27,4.32,2.31,2.65,202.76,193.45,200.46,199.29,1019.29,0.28,-1.73,20.41,1.08,-75.24,866.66,0,0,0,279.99,49.71
9,284.95,0.04,198.49,5.46,5.55,4.5,2.43,2.79,205.73,197.17,202.12,201.2,1019.24,0.69,-1.93,23.14,1.08,-74.73,866.55,0,0,0,279.89,50.45
11,284.65,0.05,202.43,5.83,5.85,4.71,2.53,2.9,208.99,200.94,203.97,203.25,1019.15,1.42,-2.16,25.85,1.07,-74.38,866.41,0,0,0,279.83,51.15
11,284.34,0.05,206.36,6.2,6.14,4.93,2.64,3.02,212.25,204.71,205.82,205.3,1019.06,2.15,-2.38,28.55,1.07,-74.04,866.28,0,0,0,279.77,51.86
11,284.04,0.06,210.3,6.57,6.44,5.14,2.74,3.13,215.51,208.47,207.68,207.35,1018.97,2.88,-2.61,31.26,1.06,-73.69,866.15,0,0,0,279.71,52.56
10,283.75,0.06,213.85,6.95,6.72,5.33,2.84,3.24,218.72,211.99,209.73,209.58,1018.74,3.55,-2.87,33.86,1.06,-73.22,866.04,0,0,0,279.67,53.39
9,283.47,0.07,217,7.33,6.97,5.47,2.94,3.35,221.88,215.24,211.98,211.99,1018.37,4.15,-3.18,36.36,1.06,-72.61,865.95,0,0,0,279.64,54.35
10,283.19,0.08,220.15,7.7,7.23,5.62,3.03,3.45,225.05,218.5,214.23,214.39,1018,4.75,-3.48,38.85,1.07,-72,865.86,0,0,0,279.62,55.3
11,282.97,0.09,217.42,8.72,7.74,5.55,3.15,3.58,223.02,217.38,213.22,213.54,1018.31,7.33,-4.07,39.77,0.91,-68.64,866.45,0,0,0,280.33,58.36
13,282.82,0.09,219.58,9.03,7.97,5.69,3.23,3.66,225.65,219.95,214.89,215.27,1018.09,7.21,-4.21,41.37,0.91,-68.2,866.35,0,0,0,280.3,59.61
15,282.71,0.1,221.58,9.38,8.25,5.88,3.32,3.76,227.98,222.2,216.32,216.73,1018.01,6.83,-4.36,43.28,0.9,-67.9,866.28,0,0,0,280.29,60.78
16,282.59,0.11,223.57,9.74,8.53,6.07,3.41,3.85,230.3,224.46,217.75,218.19,1017.93,6.44,-4.52,45.19,0.89,-67.6,866.22,0,0,0,280.27,61.95
17,282.48,0.12,225.57,10.09,8.81,6.26,3.5,3.95,232.63,226.71,219.18,219.65,1017.85,6.06,-4.67,47.1,0.88,-67.3,866.15,0,0,0,280.26,63.12
15,282.37,0.12,227.47,10.44,9.03,6.36,3.59,4.05,234.89,228.88,220.83,221.31,1017.73,6.17,-4.79,48.69,0.86,-67.09,866.05,0,0,0,280.25,64.4
17,282.27,0.14,229.28,10.77,9.2,6.37,3.68,4.14,237.11,230.96,222.7,223.19,1017.56,6.76,-4.86,49.96,0.85,-66.97,865.9,0,0,0,280.26,65.81
15,282.18,0.15,231.08,11.1,9.37,6.37,3.77,4.23,239.31,233.05,224.58,225.06,1017.4,7.36,-4.93,51.24,0.84,-66.86,865.76,0,0,0,280.27,67.21
17,282.08,0.16,232.89,11.43,9.54,6.38,3.86,4.32,241.52,235.13,226.44,226.93,1017.23,7.95,-5,52.51,0.83,-66.74,865.61,0,0,0,280.28,68.62
19,282.02,0.16,234.5,11.78,9.74,6.46,3.93,4.4,243.59,237.02,228.08,228.56,1017.11,8.3,-5.04,53.59,0.83,-66.55,865.5,0,0,0,280.29,69.81
19,281.99,0.17,235.92,12.13,9.98,6.61,3.99,4.47,245.51,238.73,229.5,229.95,1017.01,8.41,-5.06,54.46,0.85,-66.29,865.42,0,0,0,280.31,70.78
17,281.96,0.18,237.34,12.49,10.21,6.76,4.06,4.54,247.43,240.44,230.91,231.35,1016.92,8.52,-5.07,55.33,0.87,-66.02,865.34,0,0,0,280.32,71.76
